customer_id,customer_code,customer_name,customer_type,business_reg_no,tax_id,contact_person,phone,email,line_id,website,billing_address,shipping_address,province,district,subdistrict,postal_code,latitude,longitude,delivery_instructions,preferred_delivery_time,channel_source,customer_segment,hub,status,created_by,remarks
B2205376,B2205376,102 เพ็ทสเตชั่น หัวหิน,PET SHOP,,,บุณยานุช นรมาตย์,,,,,42/98 ซ.หัวหิน 102 ต.หนองแก อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,42/98 ซ.หัวหิน 102 ต.หนองแก อ.หัวหิน จ.ประจวบคีรีขันธ์ 77110,ประจวบคีรีขันธ์,,,,12.5168149,99.9633588,,09.00-16.00,,,HUB ปราณบุรี,active,admin,
B2302004,B2302004,123 Shop บางกรวย,PET SHOP,,,ธันย์ชนก พรอำนวยทรัพย์,,,,,32/1 ม.6 ซ.นุ่มประสงค์3 ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี,32/1 ม.6 ซ.นุ่มประสงค์3 ต.ศาลากลาง อ.บางกรวย จ.นนทบุรี,นนทบุรี,,,,13.8154418,100.3308855,,10.30-17.00,,,บางพลี,active,admin,ต้องมีเด็กติดรถ
B2205320,B2205320,13 เพ็ทช็อป,PET SHOP,,,บุณยานุช นรมาตย์,,,,,57 ถ.ประชาวิถี ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี,57 ถ.ประชาวิถี ต.โคกสำโรง อ.โคกสำโรง จ.ลพบุรี,ลพบุรี,,,,15.0660307,100.7203586,,,,,HUB อยุธยา,active,admin,
B2406031,B2406031,15 Petshop,PET SHOP,,,จุฑาภรณ์ กรรธิภากร,,,,,142-144 ถ.จรดวิถีถ่อง ต.ธานี อ.เมืองสุโขทัย จ.สุโขทัย 64000,142-144 ถ.จรดวิถีถ่อง ต.ธานี อ.เมืองสุโขทัย จ.สุโขทัย 64000,สุโขทัย,,,,17.0089975,99.8091923,,09.00-18.00,,,"HUB พิษณุโลก	",active,admin,
B2210070,B2210070,168 เพ็ทช็อป สาขา ประชาอุทิศ 90,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,1/22-23 ซ.ประชาอุทิศ 90 ต.ทุ่งครุ อ.ทุ่งครุ จ.สมุทรปราการ,1/22-23 ซ.ประชาอุทิศ 90 ต.ทุ่งครุ อ.ทุ่งครุ จ.สมุทรปราการ,สมุทรปราการ,,,,13.5994893,100.5066029,,09.00-20.00,,,,active,admin,
B2301028,B2301028,1688 เพ็ทช็อบ สมุทรปราการ,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,289/33 ม.2 ต.ปากคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,289/33 ม.2 ต.ปากคลองบางปลากด อ.พระสมุทรเจดีย์ จ.สมุทรปราการ 10290,สมุทรปราการ,,,,13.5983927,100.5665762,,10.00-16.00,,,,active,admin,
B2205351,B2205351,1688 เพ็ทช็อป,PET SHOP,,,บุณยานุช นรมาตย์,,,,,33/8 ม.4 ต.นาดี อ.เมือง จ.สมุทรสาคร 74000,33/8 ม.4 ต.นาดี อ.เมือง จ.สมุทรสาคร 74000,สมุทรสาคร,,,,13.5984793,100.3089904,,,,,DC บางพลี,active,admin,
B2309014,B2309014,22 pet shop,PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,376-380 ถ.สันติภาพ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย จ.กรุงเทพฯ 10100,376-380 ถ.สันติภาพ แขวงป้อมปราบ เขตป้อมปราบศัตรูพ่าย จ.กรุงเทพฯ 10100,กรุงเทพฯ,,,,13.742223,100.5124399,,11.00-16.00,,,,active,admin,
B2211059,B2211059,42 Pets shop,PET SHOP,,,บุณยานุช นรมาตย์,,,,,56/314-315 ม.7 ต.พันท้ายนรสิงห์ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,56/314-315 ม.7 ต.พันท้ายนรสิงห์ อ.เมืองสมุทรสาคร จ.สมุทรสาคร 74000,สมุทรสาคร,,,,13.5871012,100.3684838,,10.00-17.00,,,DC บางพลี,active,admin,
B2205697,B2205697,789 เพ็ท เฮ้าส์,PET SHOP,,,อรุณวดี กุลจรัสเดโช,,,,,789/2 ม.1 ต.ปลวกแดง อ.ปลวกแดง จ.ระยอง,789/2 ม.1 ต.ปลวกแดง อ.ปลวกแดง จ.ระยอง,ระยอง,,,,13.0154619,101.1536286,,10.00-17.00,,,"HUB บางละมุง	",active,admin,
B2205637,B2205637,8 Riew Pet Shop,PET SHOP,,,อรุณวดี กุลจรัสเดโช,,,,,59/5 ม.8 ต.คลองหลวงแพ่ง อ.เมือง จ.ฉะเชิงเทรา,59/5 ม.8 ต.คลองหลวงแพ่ง อ.เมือง จ.ฉะเชิงเทรา,ฉะเชิงเทรา,,,,13.8312541,100.8565826,,10.00-16.00,,,DC บางพลี,active,admin,
B2205197,B2205197,86 บ้านอาหารสัตว์,PET SHOP,,,เมธาวี แย้มเมืองไชย,,,,,50/1852 ม.5 ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110,50/1852 ม.5 ต.บางคูรัด อ.บางบัวทอง จ.นนทบุรี 11110,นนทบุรี,,,,13.8362261,100.3406895,,10.00-16.00,,,DC บางพลี,active,admin,
B2209003,B2209003,91 Pet Shop (สินค้าคนรักสัตว์),PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,22 ซ.กรุงเทพกรีฑา 15 แยก 4 (สุเหร่าวังใหญ่) แขวงหัวหมาก เขตบางกะปิ จ.กรุงเทพฯ 10240,22 ซ.กรุงเทพกรีฑา 15 แยก 4 (สุเหร่าวังใหญ่) แขวงหัวหมาก เขตบางกะปิ จ.กรุงเทพฯ 10240,กรุงเทพฯ,,,,13.7493106,100.6744147,,10.00-16.00,,,,active,admin,
B2501011,B2501011,97 ไลค์ เพ็ทช็อป,PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,439-441 ตึกสีเขียวริมถนน 2 ห้อง ตรงข้ามซอยเจริญรัถ 16 ถ.เจริญรัถ แขวงคลองสาน เขตคลองสาน จ.กรุงเทพฯ 10600,439-441 ตึกสีเขียวริมถนน 2 ห้อง ตรงข้ามซอยเจริญรัถ 16 ถ.เจริญรัถ แขวงคลองสาน เขตคลองสาน จ.กรุงเทพฯ 10600,กรุงเทพฯ,,,,13.7268841,100.5010256,,,,,,active,admin,
B2506001,B2506001,AF Pets Friend,PET SHOP,,,ชาตรี ไข่แก้ว,,,,,286/4 ม.3 ต.ท่าประจะ อ.ชะอวด จ.นครศรีธรรมราช 80180,286/4 ม.3 ต.ท่าประจะ อ.ชะอวด จ.นครศรีธรรมราช 80180,นครศรีธรรมราช,,,,,,,,,,,active,admin,
B2501012,B2501012,AYA Pet shop,PET SHOP,,,บริษัท,,,,,ตลาดโรงเกลือ งองู1 ไปรษณีย์เก่า ต.ป่าไร อ.อรัญประเทศ จ.สระแก้ว,ตลาดโรงเกลือ งองู1 ไปรษณีย์เก่า ต.ป่าไร อ.อรัญประเทศ จ.สระแก้ว,สระแก้ว,,,,,,,,,,,active,admin,"20,000 บาท/บิล / สั่งซื้อครบ 30,000 บาท ได้ส่วนลดเงินสด 2%"
B2507004,B2507004,Anymals Petshop (เอนี่มอล เพ็ทช็อป),PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,659/18 ซ.สาธุประดิษฐ์ 51 ถ.สาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120,659/18 ซ.สาธุประดิษฐ์ 51 ถ.สาธุประดิษฐ์ แขวงบางโพงพาง เขตยานนาวา กรุงเทพฯ 10120,กรุงเทพฯ,,,,,,,,,,,active,admin,
B2504001,B2504001,August Farm (ออกัส ฟาร์ม),FARM,,,บริษัท,,,,,999/75 หมู่บ้านศุภาลัย พาร์ควิลล์ พัทยา-สุขุมวิท ซ.3 ทุ่งกลม-ตาลหมัน เมืองพัทยา อ.บางละมุง จ.ชลบุรี 20150,999/75 หมู่บ้านศุภาลัย พาร์ควิลล์ พัทยา-สุขุมวิท ซ.3 ทุ่งกลม-ตาลหมัน เมืองพัทยา อ.บางละมุง จ.ชลบุรี 20150,ชลบุรี,,,,,,,,,,,active,admin,
B0000010,B0000010,BKK01,PET SHOP,,,ธันย์ชนก พรอำนวยทรัพย์,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B0000012,B0000012,BKK03,PET SHOP,,,เพ็ญพลอย อิ่มดี,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B0000013,B0000013,BKK04,PET SHOP,,,ศรัณยา ธรรมเที่ยง,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B0000014,B0000014,BKK05,PET SHOP,,,เมธาวี แย้มเมืองไชย,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B0000015,B0000015,BKK06,PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,-,-,กรุงเทพฯ,,,,,,,,,,,active,admin,
B2302033,B2302033,BONBON PETSHOP,PET SHOP,,,ณิชากร อ่อนเทศ,,,,,189/13 ม.1 ต.บางขะแยง อ.เมืองปทุมธานี จ.ปทุมธานี,189/13 ม.1 ต.บางขะแยง อ.เมืองปทุมธานี จ.ปทุมธานี,ปทุมธานี,,,,13.9681388,100.5231891,,,,,DC บางพลี,active,admin,
B2308001,B2308001,Baboo pet shop (บาบู เพ็ทช็อป),PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,13/1 ตลาดต้นไทร ล็อค 6 แขวงลาดกระบัง เขตลาดกระบัง จ.กรุงเทพฯ 10520,13/1 ตลาดต้นไทร ล็อค 6 แขวงลาดกระบัง เขตลาดกระบัง จ.กรุงเทพฯ 10520,กรุงเทพฯ,,,,13.721166,100.7740316,,10.00-16.00,,,,active,admin,
B2308023,B2308023,Bangkokcats (บางกอกแคท),FARM,,,บริษัท,,,,,30 ถ.จรดวิถีถ่อง ต.ทับผึ้ง อ.ศรีสำโรง จ.สุโขทัย 64120,30 ถ.จรดวิถีถ่อง ต.ทับผึ้ง อ.ศรีสำโรง จ.สุโขทัย 64120,สุโขทัย,,,,17.008547,99.8091642,,,,,"HUB พิษณุโลก	",active,admin,
B2210033,B2210033,Berry Pet,PET SHOP,,,ณิชากร อ่อนเทศ,,,,,456/65 ถ.สุขาภิบาล 5 แขวงออเงิน เขตสายไหม จ.กรุงเทพฯ,456/65 ถ.สุขาภิบาล 5 แขวงออเงิน เขตสายไหม จ.กรุงเทพฯ,กรุงเทพฯ,,,,13.904725,100.6750671,,10.00-17.00,,,,active,admin,
B2205589,B2205589,Best Friend Pet Shop (เบสท์เฟรนด์เพ็ทช็อป),PET SHOP,,,ชาตรี ไข่แก้ว,,,,,47 ถ.ศุภโชคพัฒนา ม.1 ต.สิชล อ.สิชล จ.นครศรีธรรมราช,47 ถ.ศุภโชคพัฒนา ม.1 ต.สิชล อ.สิชล จ.นครศรีธรรมราช,นครศรีธรรมราช,,,,9.0088977,99.9089774,,,,,HUB ทุ่งสง,active,admin,
B2303021,B2303021,Bkk petmart,PET SHOP,,,ณิชากร อ่อนเทศ,,,,,138 ถ.ไทยรามัญ แขวงสามวาตะวันตก เขตคลองสามวา จ.กรุงเทพฯ 10510,138 ถ.ไทยรามัญ แขวงสามวาตะวันตก เขตคลองสามวา จ.กรุงเทพฯ 10510,กรุงเทพฯ,,,,13.8941555,100.7032696,,10.00-17.00,,,,active,admin,
B2205477,B2205477,Browney Pet World,PET SHOP,,,นันท์ธนัษฐ์ ยะวรรณ,,,,,358/9 ม.6 ต.ริมกก อ.เมือง จ.เชียงราย,358/9 ม.6 ต.ริมกก อ.เมือง จ.เชียงราย,เชียงราย,,,,19.9272529,99.8616275,,09.00-17.00,,,สาย เชียงราย,active,admin,
B2211009,B2211009,Browney Pet World สาขา ป่อก่อ,PET SHOP,,,นันท์ธนัษฐ์ ยะวรรณ,,,,,193 ม.26 อ.รอบเวียง จ.เชียงราย 57000,193 ม.26 อ.รอบเวียง จ.เชียงราย 57000,เชียงราย,,,,19.8979703,99.8180732,,09.00-18.00,,,สาย เชียงราย,active,admin,
B2211010,B2211010,Browney Pet World สาขา หน้า ม.พะเยา,PET SHOP,,,นันท์ธนัษฐ์ ยะวรรณ,,,,,91 ต.แม่กา อ.เมืองพะเยา จ.พะเยา 56000,91 ต.แม่กา อ.เมืองพะเยา จ.พะเยา 56000,พะเยา,,,,19.030724,99.9263304,,09.00-18.00,,,HUB ลำปาง,active,admin,
B2211011,B2211011,Browney pet world สาขา แม่สาย,PET SHOP,,,นันท์ธนัษฐ์ ยะวรรณ,,,,,358/9 ม.6 ถ.พหลโยธิน ต.ริมกก อ.เมือง จ.เชียงราย 5700,358/9 ม.6 ถ.พหลโยธิน ต.ริมกก อ.เมือง จ.เชียงราย 5700,เชียงราย,,,,19.9385674,99.8452128,,09.00-18.00,,,สาย เชียงราย,active,admin,
B2205131,B2205131,Buddy Pet Shop & Groming,PET SHOP,,,ณัฐชยา ศิริเธียรไชย,,,,,29/61 ปากซอยลาดปลาเค้า1 ถ.ลาดปลาเค้า แขวงลาดพร้าว เขตลาดพร้าว จ.กรุงเทพฯ 10230,29/61 ปากซอยลาดปลาเค้า1 ถ.ลาดปลาเค้า แขวงลาดพร้าว เขตลาดพร้าว จ.กรุงเทพฯ 10230,กรุงเทพฯ,,,,13.8325866,100.5909503,,10.00-17.00,,,,active,admin,
B2310004,B2310004,Buddy Trio International,PET SHOP,,,นฤทัย สุโพเคน,,,,,โกดัง ห้อง G-C18 66/47 ถ.โชติเวช ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150,โกดัง ห้อง G-C18 66/47 ถ.โชติเวช ต.ลาดสวาย อ.ลำลูกกา จ.ปทุมธานี 12150,ปทุมธานี,,,,13.9612292,100.6735765,,10.00-17.00,,,DC บางพลี,active,admin,ต้องมีเด็กติดรถ
B0000008,B0000008,Buzz Online,PET SHOP,,,บริษัท,,,,,"เลขที่ 350,352 ถ.อุดมสุข แขวงบางนา
เขตบางนา จ.กรุงเทพฯ 10260","เลขที่ 350,352 ถ.อุดมสุข แขวงบางนา
เขตบางนา จ.กรุงเทพฯ 10260",กรุงเทพฯ,,,,13.678037,100.6435403,,,,,,active,admin,
B0000025,B0000025,Buzz Operation,OTHERS,,,บริษัท,,,,,"350, 352 ถนนอุดมสุข แขวงบางนาเหนือ เขตบางนา กทม. 10260","350, 352 ถนนอุดมสุข แขวงบางนาเหนือ เขตบางนา กทม. 10260",-,,,,,,,,,,,active,admin,
B2409020,B2409020,CHW Pet Shop,PET SHOP,,,บุณยานุช นรมาตย์,,,,,167/1 (คลังสินค้า) ถ.พุทธมณฑลสาย4 ต.กระทุ่มล้ม อ.สามพราน จ.นครปฐม 73220,167/1 (คลังสินค้า) ถ.พุทธมณฑลสาย4 ต.กระทุ่มล้ม อ.สามพราน จ.นครปฐม 73220,นครปฐม,,,,13.7455712,100.326162,,10.00-17.00,,,DC บางพลี,active,admin,
B2210072,B2210072,Cafina Pet Wellness Center,PET SHOP,,,ณิชากร อ่อนเทศ,,,,,"21 โครงการ The Platinum Place วัชรพล
ถ.วัชรพล แขวงท่าแร้ง เขตบางเขน จ.กรุงเทพฯ","21 โครงการ The Platinum Place วัชรพล
ถ.วัชรพล แขวงท่าแร้ง เขตบางเขน จ.กรุงเทพฯ",กรุงเทพฯ,,,,13.8559603,100.6409311,,10.00-17.00,,,,active,admin,
