filename,original_path,size_bytes,recovery_status,file_type,sector_start,sector_end,preview_available,hash
$R0538CV.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R0538CV.xlsx,84660,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R08O9YD.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R08O9YD.xlsx,25069,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R0B99M9.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R0B99M9.xlsx,34306,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R0IWKH9.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R0IWKH9.pdf,119845,intact,pdf,0,0,True,0d579a70555150a7b45aed67cc8ffc8b
$R0K2LQS.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R0K2LQS.pdf,119845,intact,pdf,0,0,True,0d579a70555150a7b45aed67cc8ffc8b
$R0O45OJ.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R0O45OJ.pdf,219564,intact,pdf,0,0,True,e6cade38af460ebe225a570f73d95db9
$R2GQRLB.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R2GQRLB.xlsx,25389,intact,xlsx,0,0,False,ed0d4b81349a3be42706f04ff85f3efd
$R2RU6CO.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R2RU6CO.xlsx,18370,intact,xlsx,0,0,False,721a6079dc97c3dfedd09f7df5dbe5e9
$R34KTR9.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R34KTR9.xlsx,97065,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$R39GJYI.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R39GJYI.xlsx,19422,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$R3MSL9J.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R3MSL9J.xlsx,64787,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R4O4589.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R4O4589.xlsx,48118,intact,xlsx,0,0,False,5115ab37d4e9b6904cf4597427c6842b
$R4RBDW3.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R4RBDW3.xlsx,26966,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R4TRDCM.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R4TRDCM.pdf,5757561,intact,pdf,0,0,True,4addbf5b12ff096a985b68d66d1e36c5
$R4ZKYWF.mp4,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R4ZKYWF.mp4,12891477,intact,mp4,0,0,False,122252a4d2a560390b9b7e3039f4a85d
$R5G8OV2.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R5G8OV2.pdf,235610,intact,pdf,0,0,True,b059f228335bda81089ac37bc8b70a32
$R5SBXE6.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R5SBXE6.xlsx,37261,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R6BV675.zip,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R6BV675.zip,47693706,intact,zip,0,0,False,7a5e446c7f31adb54b816c6998ed1d96
$R6U3EJE.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R6U3EJE.xlsx,58451,intact,xlsx,0,0,False,5115ab37d4e9b6904cf4597427c6842b
$R6X1J5E.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R6X1J5E.xlsx,57093,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$R72HWJK.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R72HWJK.xlsx,20656,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R7691CA.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R7691CA.xlsx,62586,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$R7B6IA1.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R7B6IA1.xlsx,24168,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$R7D69RP.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R7D69RP.pdf,1994546,intact,pdf,0,0,True,18bd740b39c9e77d13df62332dd48dab
$R7F83DI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R7F83DI.pdf,618829,intact,pdf,0,0,True,5de69868dc66bce1b0820c0874865759
$R7HBLV8.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R7HBLV8.xlsx,14614,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R85VQ5Z.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R85VQ5Z.pdf,254108,intact,pdf,0,0,True,5db8b71a6018c1ea00c4684ede7d3bed
$R8EQ01Z.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R8EQ01Z.xlsx,37060,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$R8KWXG5.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R8KWXG5.xlsx,72351,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$R8MPIR4.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R8MPIR4.pdf,22922272,intact,pdf,0,0,True,3359212e803111c2bae2270e0734d7a5
$R8OSHGI.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R8OSHGI.xlsx,113727,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$R8PWNVJ.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R8PWNVJ.pdf,554920,intact,pdf,0,0,True,5df922f240c29f140b0a3954a1c72060
$R90M3BV.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R90M3BV.pdf,4204578,intact,pdf,0,0,True,3145db973cb722e8b9e3bb0db4aa1d19
$R9CZH1R.png,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R9CZH1R.png,645067,intact,png,0,0,True,f7b5c539053863811f25e03b9a07376c
$R9PJW7W.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$R9PJW7W.xlsx,22640,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RAO1IMX.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RAO1IMX.xlsx,21048,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RAT9N1S.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RAT9N1S.xlsx,56364,intact,xlsx,0,0,False,d22a17b37927623e562b627bd81c64b9
$RB4A3JI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RB4A3JI.pdf,672943,intact,pdf,0,0,True,3f17c2ae1bc19ffb28c72bf6ba8011c6
$RB4AXYF.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RB4AXYF.xlsx,16847,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RBUKON8.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RBUKON8.xlsx,21224,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RBVXZN9.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RBVXZN9.pdf,618370,intact,pdf,0,0,True,d75edc115e9e8df73c31554b608a12d0
$RCEGGKN.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCEGGKN.pdf,11938213,intact,pdf,0,0,True,4600cea4e985795a12d32260e85a4e33
$RCGMVNT.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCGMVNT.xlsx,13040,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RCIEWTY.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCIEWTY.pdf,1270288,intact,pdf,0,0,True,80a4c8113a1dd240efcd9b28c366d0a1
$RCLNMD2.png,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCLNMD2.png,1014098,intact,png,0,0,True,a19442da5c9dff486d0debb52cda53c4
$RCLSSNC.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCLSSNC.xlsx,106162,intact,xlsx,0,0,False,a3b31913fe42ae85a62a83086dbd3603
$RCMZ0LS.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCMZ0LS.xlsx,156127,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$RCS5137.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCS5137.xlsx,72227,intact,xlsx,0,0,False,a3b31913fe42ae85a62a83086dbd3603
$RCSL7GS.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RCSL7GS.pdf,321614,intact,pdf,0,0,True,2724165fcc88dfd3cd48c841036df899
$RD0WLD8.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RD0WLD8.pdf,3188535,intact,pdf,0,0,True,8b66be2046d5e6c65f8cb08c0e17a93c
$RD30YTU.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RD30YTU.pdf,236176,intact,pdf,0,0,True,722ca15f6d43ca5f4d59932ad23143d8
$RDBQDZV.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RDBQDZV.xlsx,20077,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RDDZFU3.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RDDZFU3.xlsx,23166,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RDG20AH.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RDG20AH.pdf,556042,intact,pdf,0,0,True,32f4cc93ae4514d4a76967ebbdee42bf
$RE3YEP3.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RE3YEP3.xlsx,16690,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$REC97A7.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$REC97A7.pdf,228028,intact,pdf,0,0,True,10cf82b0f7a9c6437116c8b65f433b04
$REH5X85.zip,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$REH5X85.zip,19585627,intact,zip,0,0,False,9f71b1803b03d891cdf9c7c31efb8909
$RET9ZD9.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RET9ZD9.pdf,620486,intact,pdf,0,0,True,88cc9f3636fccb626478228debf6068e
$RF8B5CI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RF8B5CI.pdf,1981545,intact,pdf,0,0,True,5fe6e5000e0db0015241d347fe014298
$RFLEF5F.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RFLEF5F.xlsx,29100,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RFLVT5S.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RFLVT5S.pdf,642267,intact,pdf,0,0,True,fdd0f2b62df6cf274d7312f4843bbfb4
$RFO3C31.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RFO3C31.xlsx,39935,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RG8XTKT.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RG8XTKT.xlsx,25130,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RGBN88S.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RGBN88S.xlsx,33106,intact,xlsx,0,0,False,e87052d8775e298bde9fd25813abb0d1
$RGNLQPI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RGNLQPI.pdf,1995327,intact,pdf,0,0,True,18bd740b39c9e77d13df62332dd48dab
$RH2HZCS.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RH2HZCS.xlsx,74496,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RHB2HRT.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RHB2HRT.xlsx,81448,intact,xlsx,0,0,False,5af38bb05671828222a1b04dc1424968
$RHC9RVA.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RHC9RVA.pdf,27526460,intact,pdf,0,0,True,0c911b95b0093a4f2cbb3244f445421a
$RHFUURC.jpg,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RHFUURC.jpg,19753,intact,jpg,0,0,True,d8571adb6ed9e4d5febbbb7807ffdbf7
$RHY7IYP.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RHY7IYP.pdf,556890,intact,pdf,0,0,True,32f4cc93ae4514d4a76967ebbdee42bf
$RI1MHT1.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RI1MHT1.xlsx,53298,intact,xlsx,0,0,False,5115ab37d4e9b6904cf4597427c6842b
$RI3F0ER.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RI3F0ER.xlsx,49095,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$RI5NZBB.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RI5NZBB.xlsx,80977,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RIPANFE.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RIPANFE.xlsx,27242,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RJUV8H4.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RJUV8H4.pdf,198717,intact,pdf,0,0,True,325bf0a8810ebe68f346aeb936274c80
$RJUZQF4.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RJUZQF4.xlsx,19410,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RJZORBF.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RJZORBF.pdf,1173402,intact,pdf,0,0,True,878bc64db92322c76225891e8b591992
$RKALWX3.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RKALWX3.pdf,554920,intact,pdf,0,0,True,5df922f240c29f140b0a3954a1c72060
$RKD8GE7.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RKD8GE7.xlsx,22067,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RKJ7WGS.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RKJ7WGS.xlsx,117383,intact,xlsx,0,0,False,27d1ac197c92e8f9ae3905157a4890d2
$RKQKZ0Q.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RKQKZ0Q.xlsx,20623,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RLDN2MQ.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RLDN2MQ.xlsx,16966,intact,xlsx,0,0,False,1dc403e53ac9d8ce6348a57768afc912
$RLLS2BX.png,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RLLS2BX.png,645067,intact,png,0,0,True,f7b5c539053863811f25e03b9a07376c
$RLMKJDI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RLMKJDI.pdf,673021,intact,pdf,0,0,True,71ddc9c60af7f3da52eac2aac258795c
$RLTXUFW.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RLTXUFW.xlsx,44897,intact,xlsx,0,0,False,5115ab37d4e9b6904cf4597427c6842b
$RM2TPQU.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RM2TPQU.pdf,4669449,intact,pdf,0,0,True,ab88bcec7284dc60fa4e0e59c055d6b1
$RM396A0.xlsx,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RM396A0.xlsx,19487,intact,xlsx,0,0,False,bc782888d851b0f5bb535a0b7086e9f0
$RM9QWEI.pdf,C:\$Recycle.Bin\S-1-5-21-3214381562-3428116418-1304378316-1001\$RM9QWEI.pdf,556890,intact,pdf,0,0,True,32f4cc93ae4514d4a76967ebbdee42bf
